x0,y0,size_x,size_y
0.04965243296921549,0.13406940063091483,0.11916583912611718,0.0946372239747634
0.04965243296921549,0.25236593059936907,0.11916583912611718,0.0946372239747634
0.2730883813306852,0.25236593059936907,0.10923535253227408,0.0946372239747634
0.04965243296921549,0.3722397476340694,0.11916583912611718,0.0946372239747634
0.2830188679245283,0.3722397476340694,0.04965243296921549,0.0946372239747634
0.37735849056603776,0.3722397476340694,0.044687189672293945,0.0946372239747634
0.4766633565044687,0.3722397476340694,0.039721946375372394,0.0946372239747634
0.04965243296921549,0.501577287066246,0.11916583912611718,0.0946372239747634
0.04965243296921549,0.8201892744479495,0.2631578947368421,0.0946372239747634
0.1717974180734856,0.09779179810725552,0.41211519364448856,0.14589905362776026
0.1717974180734856,0.24605678233438485,0.06951340615690169,0.11041009463722397
0.381330685203575,0.24605678233438485,0.1936444885799404,0.11041009463722397
0.176266137040715,0.3667192429022082,0.10427010923535253,0.11041009463722397
0.33515392254220455,0.3667192429022082,0.04270109235352532,0.11041009463722397
0.42204568023833167,0.3667192429022082,0.05362462760675273,0.11041009463722397
0.176266137040715,0.4921135646687697,0.43197616683217477,0.20504731861198738
0.3202581926514399,0.7886435331230284,0.5958291956305859,0.1498422712933754
